1	5144,5660,10846,2959,4662,9945,693,2770,13592,1522,1906,2250,16982,1444,83,2283,16522,6743,9562
2	6623,17264,15200,14520,14175,518,616,2614,4664,5654,8216,15872,1128,15927,17711,14412,11818
3	9303,12183,1087,5327,16103,3098,5741,5910,16433,1141,11579,16616,5206,7106,9267,3648,3441,3798,2563
4	9042,15406,1498,2433,294,295,7637,5952,16054,1760,1854,2521,3965,5709,5710,2554,15064,15374
5	1661,3444,17779,13413,3468,17514,17808,5298,9322,17956,18140,3466,4785,5372,5591,5071,5167,600,1138
6	142,1185,2349,625,986,10103,12276,15235,2792,1168,426,11926,7786,9163,15910,17801,3669,3836,5827
7	164,8489,13341,17505,7662,607,16509,5887,11050,13247,3010,15892,542,2726,2267,15013,8986,13731,8931
8	10855,2537,1465,6660,12570,12649,14222,14266,17061,17673,8159,2250,18850,17926,9254,11414,9159,9191,6963
9	17436,1209,16708,1198,16582,12182,16513,17358,17001,2118,18948,2267,11971,9532,6468,15563,12746,16250,7368
10	16984,7777,8122,13045,15545,5023,6433,11342,15962,9852,14531,8165,1285,1402,1597,10496,648,668
11	17919,9119,17287,18792,18921,614,2180,1927,18118,8766,7409,10966,11164,11431,18334,5949,14035,17933,530
12	18297,13209,17666,12500,13924,15165,16174,17952,18325,18326,15985,14675,3966,4737,5598,5850,17463
13	9381,6556,9145,9213,11173,11960,13349,13350,15767
14	424,1878,16697,15206,6563,3457,16233,2870,2505,873,1701,1118,13915,7752,3375,16824,832
15	11163,16264,12410,18705,2762,996,14539,2435,2742,6014,7102,15847,16872,17245,7966,10131,14040,1842,9473
16	186,2788,816,1716,2468,1930,16520,1067,2345,18053,15896,2684,2685,6613,18376,966,8945,9468,11818
17	8260,10467,11916,17087,1686,17925,6052,18364,12556,732,1645,17435,7502,1859,7780,2291,18040,14561,6858
18	6646,7214,11864,12349,3891,9419,12958,14515,8664,18609,12393,13121,16066,9246,12781,14565,1190,481,661
